OrgId,MeterId,MeterName,Date,BillingPeriodStartDate,BillingPeriodEndDate,MeterUsage,IPU,Scalar,MetricCategory,OrgName,OrgType,IPURate
0Nlc01DYHHse7SsRKVb76p,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,0.600000
0Nlc01DYHHse7SsRKVb76p,1XzBBPzFTAlk77lGUvVPIS,Scanner Execution,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,2.3082561572,0.738641970309,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.320000
0Nlc01DYHHse7SsRKVb76p,a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,4.2388740000,0.678219840000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.160000
0Nlc01DYHHse7SsRKVb76p,c6vq9jira786LE0O2UReWT,Sandbox Organizations IPU Usage,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,null,1.659697723410,IPU,ORGS,VLI Logística - PRD,Production,null
0Nlc01DYHHse7SsRKVb76p,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,41.600000
0Nlc01DYHHse7SsRKVb76p,cPnPIT3XYAziLqIoXtd0KC,Data Quality,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.9983270000,0.379364260000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.380000
0Nlc01DYHHse7SsRKVb76p,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,255249.0000000000,2.118566700000,HUNDREDK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,0.830000
0Nlc01DYHHse7SsRKVb76p,3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,1.0674894445,1.473135433410,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,1.380000
0Nlc01DYHHse7SsRKVb76p,jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.6425020000,0.000000000000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.000000
0Nlc01DYHHse7SsRKVb76p,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,77.0000000000,0.073150000000,TENK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,9.500000
0Nlc01DYHHse7SsRKVb76p,xQ7fB0n3HtM8JlZk2W6sX1,Metadata Record Consumption,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,1094.0000000000,0.000001094000,THOUSAND_API_CALLS,API_CALLS,VLI Logística - PRD,Production,0.000001
0Nlc01DYHHse7SsRKVb76p,3e7ccb904b3011eebe5602,Taskflow Run,2025-12-08 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,168.0000000000,0.000000000000,THOUSAND_RUNS,RUNS,VLI Logística - PRD,Production,0.000000
0Nlc01DYHHse7SsRKVb76p,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,0.600000
0Nlc01DYHHse7SsRKVb76p,a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,4.6024940000,0.736399040000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.160000
0Nlc01DYHHse7SsRKVb76p,cPnPIT3XYAziLqIoXtd0KC,Data Quality,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.9963820000,0.378625160000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.380000
0Nlc01DYHHse7SsRKVb76p,jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.9347270000,0.000000000000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.000000
0Nlc01DYHHse7SsRKVb76p,c6vq9jira786LE0O2UReWT,Sandbox Organizations IPU Usage,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,null,2.402328836728,IPU,ORGS,VLI Logística - PRD,Production,null
0Nlc01DYHHse7SsRKVb76p,xQ7fB0n3HtM8JlZk2W6sX1,Metadata Record Consumption,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,2180.0000000000,0.000002180000,THOUSAND_API_CALLS,API_CALLS,VLI Logística - PRD,Production,0.000001
0Nlc01DYHHse7SsRKVb76p,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,41.600000
0Nlc01DYHHse7SsRKVb76p,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,262648.0000000000,2.179978400000,HUNDREDK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,0.830000
0Nlc01DYHHse7SsRKVb76p,3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.5184377778,0.715444133364,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,1.380000
0Nlc01DYHHse7SsRKVb76p,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,77.0000000000,0.073150000000,TENK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,9.500000
0Nlc01DYHHse7SsRKVb76p,3e7ccb904b3011eebe5602,Taskflow Run,2025-12-09 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,166.0000000000,0.000000000000,THOUSAND_RUNS,RUNS,VLI Logística - PRD,Production,0.000000
0Nlc01DYHHse7SsRKVb76p,a2nB20h1o0lc7k3P9xtWS8,Data Integration,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,1.5630480000,0.250087680000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.160000
0Nlc01DYHHse7SsRKVb76p,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,41.600000
0Nlc01DYHHse7SsRKVb76p,c6vq9jira786LE0O2UReWT,Sandbox Organizations IPU Usage,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,null,0.376273860000,IPU,ORGS,VLI Logística - PRD,Production,null
0Nlc01DYHHse7SsRKVb76p,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,262648.0000000000,2.179978400000,HUNDREDK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,0.830000
0Nlc01DYHHse7SsRKVb76p,cPnPIT3XYAziLqIoXtd0KC,Data Quality,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.4088870000,0.155377060000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.380000
0Nlc01DYHHse7SsRKVb76p,3uIRkIV5Rt9lBbAPzeR5Kj,Application Integration,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.0081836111,0.011293383318,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,1.380000
0Nlc01DYHHse7SsRKVb76p,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,0.600000
0Nlc01DYHHse7SsRKVb76p,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,77.0000000000,0.073150000000,TENK_RECORDS,RECORDS_STORED,VLI Logística - PRD,Production,9.500000
0Nlc01DYHHse7SsRKVb76p,jRkQw2YQksQjLqowj7Mveq,MDM Data Integration,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,0.4288920000,0.000000000000,HOURS,COMPUTE_UNITS,VLI Logística - PRD,Production,0.000000
0Nlc01DYHHse7SsRKVb76p,3e7ccb904b3011eebe5602,Taskflow Run,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,64.0000000000,0.000000000000,THOUSAND_RUNS,RUNS,VLI Logística - PRD,Production,0.000000
0Nlc01DYHHse7SsRKVb76p,xQ7fB0n3HtM8JlZk2W6sX1,Metadata Record Consumption,2025-12-10 00:00:00.0,2025-12-01 00:00:00.0,2025-12-30 00:00:00.0,351.0000000000,0.000000351000,THOUSAND_API_CALLS,API_CALLS,VLI Logística - PRD,Production,0.000001
