OrgId,MeterId,MeterName,Date,BillingPeriodStartDate,BillingPeriodEndDate,MeterUsage,IPU,Scalar,MetricCategory,OrgName,OrgType,IPURate
3iIXLENg80KlHtUCJmWA8R,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-09-09 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,250.0000000000,0.237500000000,TENK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,9.500000
3iIXLENg80KlHtUCJmWA8R,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-09 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,143291.0000000000,1.189315300000,HUNDREDK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,0.830000
3iIXLENg80KlHtUCJmWA8R,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-09-09 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,41.600000
3iIXLENg80KlHtUCJmWA8R,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-09-09 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,0.600000
3iIXLENg80KlHtUCJmWA8R,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-09-10 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,250.0000000000,0.237500000000,TENK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,9.500000
3iIXLENg80KlHtUCJmWA8R,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-10 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,143291.0000000000,1.189315300000,HUNDREDK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,0.830000
3iIXLENg80KlHtUCJmWA8R,6J969du5ipFiRR3hRANP81,Marketplace Records,2025-09-10 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,0.0000000000,0.000000000000,TENK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,41.600000
3iIXLENg80KlHtUCJmWA8R,e959858a4b2644c19a39fd,Data Access Management - Policy Pushdown,2025-09-10 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,0.0000000000,0.000000000000,HUNDRED_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,0.600000
3iIXLENg80KlHtUCJmWA8R,3sY0I8UHjyTiXcLzZI1fqj,Governance Records,2025-09-11 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,250.0000000000,0.237500000000,TENK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,9.500000
3iIXLENg80KlHtUCJmWA8R,5hflTd89LojbuPtkRvPd8o,Catalog Records,2025-09-11 00:00:00.0,2025-08-15 00:00:00.0,2025-09-14 00:00:00.0,143291.0000000000,1.189315300000,HUNDREDK_RECORDS,RECORDS_STORED,ClearSale SA - PRD,Production,0.830000
